P10_001N,P10_002N,P10_003N,P10_004N,P10_005N,P10_006N,P10_007N,P10_008N,P10_009N,state,county,tract,block group
1324,1273,808,127,8,279,0,51,51,42,101,034701,4
884,837,763,18,1,34,0,21,47,42,101,034702,2
739,696,645,12,1,16,0,22,43,42,101,034702,3
1032,1007,981,5,0,10,1,10,25,42,101,034801,1
1364,1287,1018,125,1,55,1,87,77,42,101,034801,2
1281,1222,1040,120,1,20,5,36,59,42,101,034801,3
1941,1828,798,785,2,64,0,179,113,42,101,034802,1
1143,1057,748,190,0,48,0,71,86,42,101,034802,2
1237,1122,975,48,4,47,0,48,115,42,101,034802,3
946,894,817,20,0,32,0,25,52,42,101,034803,1
1984,1889,1507,194,4,107,0,77,95,42,101,034803,2
706,665,521,62,4,48,1,29,41,42,101,034803,3
830,744,369,228,10,51,1,85,86,42,101,034900,1
1898,1771,1105,349,4,185,0,128,127,42,101,034900,2
702,641,387,152,7,28,0,67,61,42,101,034900,3
969,916,543,265,2,51,0,55,53,42,101,034900,4
868,850,740,70,2,21,0,17,18,42,101,035100,1
1185,1100,956,57,1,54,1,31,85,42,101,035100,2
1865,1829,1628,122,0,35,0,44,36,42,101,035100,3
1903,1832,1493,143,4,147,3,42,71,42,101,035200,1
765,749,676,22,0,37,1,13,16,42,101,035200,2
1401,1343,1185,56,2,65,1,34,58,42,101,035200,3
1976,1875,1520,161,1,97,0,96,101,42,101,035301,1
1546,1457,1297,70,4,44,0,42,89,42,101,035301,2
657,637,555,28,3,39,1,11,20,42,101,035301,3
1735,1659,1299,204,6,81,0,69,76,42,101,035302,1
2105,1968,1600,195,4,88,0,81,137,42,101,035302,2
2392,2294,1539,129,4,521,1,100,98,42,101,035500,1
1688,1559,1157,103,1,242,0,56,129,42,101,035500,2
2386,2256,1572,124,2,463,0,95,130,42,101,035500,3
1870,1796,1433,48,1,271,0,43,74,42,101,035601,1
1356,1254,927,30,2,258,0,37,102,42,101,035601,2
638,630,520,20,2,76,0,12,8,42,101,035601,3
969,950,804,10,0,130,0,6,19,42,101,035601,4
1199,1156,646,21,0,466,0,23,43,42,101,035602,1
1197,1125,809,228,0,70,0,18,72,42,101,021800,2
788,766,619,98,0,37,0,12,22,42,101,021700,3
841,795,747,25,3,11,0,9,46,42,101,021700,4
1741,1631,1139,360,3,69,0,60,110,42,101,021800,1
825,785,363,375,2,38,0,7,40,42,101,021800,3
1263,1198,1011,111,0,57,0,19,65,42,101,021900,1
1269,1235,1021,136,0,68,0,10,34,42,101,022000,1
1201,1155,230,883,5,16,0,21,46,42,101,024100,1
518,482,169,299,0,6,1,7,36,42,101,024200,1
837,821,90,693,4,3,0,31,16,42,101,024200,2
866,808,87,672,1,7,1,40,58,42,101,024200,3
927,906,94,778,0,2,0,32,21,42,101,024200,4
669,643,97,511,4,13,1,17,26,42,101,024300,1
1114,1051,170,849,0,15,2,15,63,42,101,024300,2
725,701,59,613,6,10,0,13,24,42,101,024300,3
525,503,80,408,0,8,0,7,22,42,101,024300,4
619,593,45,531,5,1,2,9,26,42,101,024400,1
718,670,55,605,1,1,0,8,48,42,101,024400,2
1039,986,891,42,4,35,2,12,53,42,101,023100,1
928,873,574,252,0,34,0,13,55,42,101,023500,1
1448,1354,723,573,1,31,1,25,94,42,101,023600,1
816,762,565,167,1,17,2,10,54,42,101,023600,2
1812,1693,662,971,1,27,0,32,119,42,101,023700,1
774,737,259,458,1,8,0,11,37,42,101,023700,2
1470,1380,450,867,3,36,0,24,90,42,101,023700,3
640,604,186,395,1,6,0,16,36,42,101,023800,1
642,585,279,275,3,14,0,14,57,42,101,023800,2
736,679,258,399,3,7,0,12,57,42,101,023800,3
785,749,273,441,0,18,0,17,36,42,101,023800,4
954,914,294,590,0,13,0,17,40,42,101,023800,5
916,860,182,644,4,14,0,16,56,42,101,023900,1
819,777,370,210,1,158,0,38,42,42,101,023900,2
1423,1340,320,944,5,25,3,43,83,42,101,024000,1
1701,1604,565,892,8,124,2,13,97,42,101,024000,2
0,0,0,0,0,0,0,0,0,42,101,980701,4
0,0,0,0,0,0,0,0,0,42,101,980701,1
0,0,0,0,0,0,0,0,0,42,101,980701,2
0,0,0,0,0,0,0,0,0,42,101,980701,3
6,5,3,2,0,0,0,0,1,42,101,980702,1
10,7,4,3,0,0,0,0,3,42,101,980800,1
25,23,4,16,0,3,0,0,2,42,101,980901,1
